data,Real (TWh),Média global,Linear,PCHIP,Harmônica log,Harmônica + resíduo,Erro absoluto do vencedor
2015-04-01,441.5,570.8070422535212,453.9666666666667,456.9679246418352,448.0844470509321,471.2839100762452,6.584447050932113
2015-05-01,456.7,570.8070422535212,463.1333333333333,462.4983190904337,449.7918963176348,464.6566457227745,6.908103682365208
2016-06-01,492.5,570.8070422535212,512.65,514.1281215898994,494.7829929765093,491.01009533029264,2.2829929765093198
2017-04-01,484.7,570.8070422535212,505.35,505.34999999999997,506.2792458447602,523.7984989956722,21.579245844760237
2017-07-01,607.2,570.8070422535212,561.75,569.5556032306915,589.7571856154692,585.5566521576802,17.442814384530834
2019-04-01,553.4,570.8070422535212,581.7,583.8915339966834,572.0320722133977,604.005165217612,18.63207221339769
2019-05-01,566.5,570.8070422535212,590.2,588.3355679933665,574.2118304010779,592.2523997208668,7.711830401077918
2019-10-01,579.0,570.8070422535212,596.625,594.1986895467602,560.3909984134029,553.9254321847133,18.60900158659706
2019-11-01,591.2,570.8070422535212,591.25,591.5380216356044,617.7657435278015,604.7493994331184,26.565743527801487
2021-04-01,636.1,570.8070422535212,667.75,668.1258033083229,646.3245221414609,692.2094333024438,10.224522141460852
2021-06-01,703.3,570.8070422535212,724.0999999999999,726.2331410825199,671.4140111520347,693.8427736529646,31.885988847965223
2021-09-01,694.7,570.8070422535212,710.5,705.0229768786128,681.4877604751232,690.1191550561103,13.21223952487685
2022-02-01,623.5,570.8070422535212,688.75,692.3935075093866,613.1748726799402,648.04301207738,10.325127320059778
2022-08-01,852.0,570.8070422535212,795.0,830.0625,822.2736860233449,829.4875366297299,29.726313976655092
2022-09-01,709.2,570.8070422535212,757.5999999999999,813.6999999999999,724.3912363894646,708.7236719742525,15.191236389464507
2022-10-01,683.4,570.8070422535212,720.1999999999999,769.2874999999999,673.0332689514942,638.6318328819501,10.366731048505812
