,Total NEA,Soma série de trabalho,Diferença (TWh),Diferença (%)
2015,5550.0,5554.237678717159,4.237678717158815,0.076354571480339
2016,5919.8,5922.24135912533,2.4413591253296545,0.04124056767677378
2017,6307.7,6311.669425326571,3.9694253265715815,0.06292983697023609
2018,6844.9,6828.059453804426,-16.840546195573552,-0.2460305657580615
2019,7225.5,7165.557930577079,-59.94206942292112,-0.8295906085796294
2020,7511.0,7368.720828184113,-142.2791718158869,-1.8942773507640382
2021,8312.8,8235.114220039248,-77.68577996075146,-0.9345320464915728
2022,8637.2,8639.714934568943,2.514934568942408,0.029117475211207427
2023,9224.1,9205.411251713405,-18.688748286595,-0.2026078239242311
2024,9852.1,9819.629145220977,-32.470854779023284,-0.3295830815666029
