data,Holt | nível TWh,Holt | tendência TWh/mês,Holt-Winters aditivo | nível TWh,Holt-Winters aditivo | tendência TWh/mês,Holt-Winters aditivo | sazonalidade,Holt-Winters multiplicativo | nível TWh,Holt-Winters multiplicativo | tendência TWh/mês,Holt-Winters multiplicativo | sazonalidade
2015-01-01,428.909591308452,3.318064208609176,-48285.21076740983,3.2577499318283167,48765.05473356151,450.5623790727475,3.196153638997247,1.023091277252575
2015-02-01,432.22765443333464,3.31806420860916,-48282.43491610362,3.2577499318283167,48643.429796814926,446.75427700848246,3.196153638997247,0.8636548838617003
2015-03-01,435.5457187798433,3.318064208609162,-48279.789361427385,3.2577499318283167,48726.488430713915,449.95625276649355,3.196153638997247,0.9884848510793428
2015-04-01,438.8637830277351,3.3180642086091625,-48275.786452530345,3.2577499318283167,48714.974921214976,456.91813937972194,3.196153638997247,0.9327805756567753
2015-05-01,442.18184745268155,3.3180642086091656,-48272.55699209572,3.2577499318283167,48729.34474794613,461.9990887527129,3.196153638997247,0.9712755195925651
2015-06-01,445.49991206064317,3.3180642086091714,-48270.246958785196,3.2577499318283167,48745.48683705346,464.34411870053725,3.196153638997247,1.0253172853185117
2015-07-01,448.8179770825879,3.318064208609184,-48270.94048452459,3.2577499318283167,48786.597597269756,462.20958376575106,3.196153638997247,1.1467046406399424
2015-08-01,452.1360421892001,3.318064208609197,-48270.43827636687,3.2577499318283167,48791.38614520963,461.3100437980447,3.196153638997247,1.1554193803525852
2015-09-01,455.4541064104141,3.318064208609197,-48268.06863580405,3.2577499318283167,48727.123608519636,462.0192126051753,3.196153638997247,1.011326430072226
2015-10-01,458.7721704748967,3.318064208609195,-48264.86708684402,3.2577499318283167,48714.14142589421,465.8527094235232,3.196153638997247,0.9583293770890466
2015-11-01,462.0902347387857,3.318064208609196,-48261.917311253754,3.2577499318283167,48728.67266758455,470.53439208620006,3.196153638997247,0.9765135059756209
2015-12-01,465.4082995602704,3.3180642086092047,-48259.15627891341,3.2577499318283167,48767.23480773261,473.530137904387,3.196153638997247,1.0716802755024875
2016-01-01,468.72636416038733,3.3180642086092105,-48257.953244956,3.2577499318283167,48759.32710683081,478.05255991102524,3.196153638997247,1.023091277252575
2016-02-01,472.04442701530905,3.31806420860919,-48255.78906852815,3.2577499318283167,48640.381404282154,473.8028847820798,3.196153638997247,0.8636548838617003
2016-03-01,475.3624912363981,3.31806420860919,-48252.20577247026,3.2577499318283167,48727.395907327205,477.88583509263873,3.196153638997247,0.9884848510793428
2016-04-01,478.68055512045174,3.3180642086091856,-48250.27275505425,3.2577499318283167,48711.28216101693,482.714973493223,3.196153638997247,0.9327805756567753
2016-05-01,481.9986191949711,3.3180642086091834,-48248.369179647714,3.2577499318283167,48725.56991662846,486.11233431210843,3.196153638997247,0.9712755195925651
2016-06-01,485.31668351062007,3.318064208609185,-48246.25451331363,3.2577499318283167,48742.30043258133,487.6333797077176,3.196153638997247,1.0253172853185117
2016-07-01,488.63474866791546,3.318064208609199,-48241.73411452183,3.2577499318283167,48790.117296075805,489.11349943158814,3.196153638997247,1.1467046406399424
2016-08-01,491.9528139367003,3.3180642086092145,-48236.99729536455,3.2577499318283167,48795.50912694427,491.38442337387164,3.196153638997247,1.1554193803525852
2016-09-01,495.27087816362484,3.3180642086092145,-48233.287279762604,3.2577499318283167,48728.38432239628,493.90055711556687,3.196153638997247,1.011326430072226
2016-10-01,498.5889422293477,3.3180642086092123,-48229.320041267914,3.2577499318283167,48716.11916184819,499.55562575865133,3.196153638997247,0.9583293770890466
2016-11-01,501.90700651682874,3.3180642086092136,-48225.39612596771,3.2577499318283167,48730.52963789992,505.8607667100842,3.196153638997247,0.9765135059756209
2016-12-01,505.22507123381035,3.318064208609221,-48222.97370159787,3.2577499318283167,48764.906294654764,507.9756094748068,3.196153638997247,1.0716802755024875
2017-01-01,508.5431351184216,3.3180642086092162,-48227.38127774489,3.2577499318283167,48737.959615121195,504.56818166258046,3.196153638997247,1.023091277252575
2017-02-01,511.86119819073474,3.3180642086091994,-48221.31527615832,3.2577499318283167,48648.20955057809,507.131286938817,3.196153638997247,0.8636548838617003
2017-03-01,515.1792623802814,3.318064208609199,-48217.395425649425,3.2577499318283167,48729.24154682721,512.1126917016567,3.196153638997247,0.9884848510793428
2017-04-01,518.4973260852713,3.3180642086091914,-48215.94394254523,3.2577499318283167,48706.24709909423,516.1157044293506,3.196153638997247,0.9327805756567753
2017-05-01,521.8153899211221,3.3180642086091856,-48215.020680256275,3.2577499318283167,48719.06241194543,517.8514970442912,3.196153638997247,0.9712755195925651
2017-06-01,525.133454118802,3.3180642086091856,-48212.653764012175,3.2577499318283167,48739.817187740686,519.2554741808224,3.196153638997247,1.0253172853185117
2017-07-01,528.4515195008549,3.318064208609203,-48205.55273500378,3.2577499318283167,48800.8306346816,523.7712127152644,3.196153638997247,1.1467046406399424
2017-08-01,531.7695847127655,3.3180642086092176,-48201.4406765142,3.2577499318283167,48797.89055610171,525.3884446044202,3.196153638997247,1.1554193803525852
2017-09-01,535.0876488708949,3.3180642086092167,-48197.96541023164,3.2577499318283167,48728.99066044025,528.0543128302634,3.196153638997247,1.011326430072226
2017-10-01,538.4057127009294,3.318064208609211,-48195.92855580911,3.2577499318283167,48712.71585266021,532.0079769229006,3.196153638997247,0.9583293770890466
2017-11-01,541.7237767497419,3.3180642086092083,-48193.666337669936,3.2577499318283167,48727.754541692986,536.8041206971415,3.196153638997247,0.9765135059756209
2017-12-01,545.0418413938761,3.318064208609215,-48190.441721889794,3.2577499318283167,48764.81393149838,539.2268385660458,3.196153638997247,1.0716802755024875
2018-01-01,548.3599063645321,3.318064208609226,-48180.11182816618,3.2577499318283167,48757.67358061803,550.5556308754701,3.196153638997247,1.023091277252575
2018-02-01,551.6779691429582,3.3180642086092047,-48179.126406875126,3.2577499318283167,48641.875317318634,548.8754266521482,3.196153638997247,0.8636548838617003
2018-03-01,554.9960330163503,3.3180642086092,-48178.89827268772,3.2577499318283167,48720.796336716616,549.5749275369078,3.196153638997247,0.9884848510793428
2018-04-01,558.314096679367,3.3180642086091914,-48176.93327637332,3.2577499318283167,48702.64348172445,553.9895776719595,3.196153638997247,0.9327805756567753
2018-05-01,561.6321607653074,3.3180642086091896,-48172.51245520536,3.2577499318283167,48722.30453299029,559.5352509981097,3.196153638997247,0.9712755195925651
2018-06-01,564.9502249940297,3.31806420860919,-48169.8733874045,3.2577499318283167,48738.09257939809,560.7863932079101,3.196153638997247,1.0253172853185117
2018-07-01,568.2682903966944,3.318064208609208,-48164.556741554115,3.2577499318283167,48806.56991322216,564.2559324271592,3.196153638997247,1.1467046406399424
2018-08-01,571.5863558050504,3.3180642086092256,-48159.04800478311,3.2577499318283167,48804.165297988744,566.8790600089227,3.196153638997247,1.1554193803525852
2018-09-01,574.9044200031628,3.318064208609225,-48155.645167755894,3.2577499318283167,48729.39509820011,569.6445458080599,3.196153638997247,1.011326430072226
2018-10-01,578.2224837629121,3.3180642086092185,-48154.16232579873,3.2577499318283167,48707.76820515719,572.6711405263319,3.196153638997247,0.9583293770890466
2018-11-01,581.5405477205777,3.3180642086092145,-48152.668094381384,3.2577499318283167,48722.83864289754,576.3182265143188,3.196153638997247,0.9765135059756209
2018-12-01,584.8586123255704,3.3180642086092202,-48149.982819475386,3.2577499318283167,48763.218127844055,577.8423426039442,3.196153638997247,1.0716802755024875
2019-01-01,588.176676966661,3.3180642086092265,-48145.81769115082,3.2577499318283167,48760.20294467705,585.1903735105872,3.196153638997247,1.023091277252575
2019-02-01,591.4947396494697,3.318064208609204,-48144.04266184076,3.2577499318283167,48637.742157128545,584.2643220089864,3.196153638997247,0.8636548838617003
2019-03-01,594.8128035360231,3.318064208609199,-48141.77356273563,3.2577499318283167,48718.040421557125,586.044265265115,3.196153638997247,0.9884848510793428
2019-04-01,598.1308670780905,3.3180642086091887,-48140.07289066143,3.2577499318283167,48698.30304690514,589.994833946271,3.196153638997247,0.9327805756567753
