Modelo,alpha,beta,gamma
Holt,1.4901161195123897e-08,1.4901161160465094e-08,
Holt-Winters aditivo,0.14514596499420868,5.1929275696252214e-34,0.40460186191622266
Holt-Winters multiplicativo,0.18675873126397177,9.377451138075656e-31,1.1862069033273042e-19
