Método,MAE_medio,RMSE_medio,MAPE_medio
Harmônica log,21.923828866474906,27.23270197495173,3.9354313346560748
Harmônica + resíduo,28.499754545697158,35.27148091797841,5.136932586629931
Linear,42.877608961640206,51.55140242937562,7.608637912140891
PCHIP,44.40868442601127,53.1300634722196,7.942534195120029
Média global,91.82558823141616,104.15085918122992,16.305319256312032
