data,Original 2024,Avaliado,Sazonal ingênuo,Holt,Holt-Winters aditivo,Holt-Winters multiplicativo
2024-01-01,,False,688.4,781.7114748356521,794.9007124498029,804.5355236819281
2024-02-01,,False,695.0,784.9415766734213,716.7524115696943,675.809488092721
2024-03-01,794.2,True,736.9,788.1716785111907,784.8388841111138,776.5212043344038
2024-04-01,741.2,True,690.1,791.4017803489601,748.2277213052879,737.852220336367
2024-05-01,775.1,True,722.2,794.6318821867294,779.9993865979001,770.6848338626667
2024-06-01,820.5,True,775.1,797.8619840244988,826.9149972431649,817.862943951233
2024-07-01,939.6,True,888.8,801.092085862268,910.1889937789612,915.0451576158932
2024-08-01,964.9,True,886.1,804.3221877000375,912.0917323791766,922.7373029588535
2024-09-01,847.5,True,781.1,807.5522895378068,812.700263194996,811.0218997871475
2024-10-01,774.2,True,741.9,810.7823913755761,783.4354198528426,777.9255845267496
2024-11-01,784.9,True,763.0,814.0124932133456,800.5294849521167,797.9808156762597
2024-12-01,,False,842.2296991140761,817.2425950511149,872.5168154290084,879.7750926174925
