data,Consumo tratado,Tendência,Ciclo,Sazonalidade,Resíduo,Tendência-ciclo STL
2015-01-01,485.9,444.48334539468885,6.780681370867512,31.94815631092362,2.6878169235200176,451.26402676555637
2015-02-01,359.5,447.3105084404652,5.9536815914169665,-93.8000935483691,0.03590351648693968,453.26419003188215
2015-03-01,444.8,450.1377238063138,5.150509794574532,-8.160619879481455,-2.3276137214068626,455.2882336008883
2015-04-01,441.5,452.965089751208,4.3739917212508885,-20.082748978497868,4.243667506039003,457.3390814724589
2015-05-01,456.7,455.7927442757091,3.627650526985633,-7.1161562493005865,4.395761446605832,459.4203948026947
2015-06-01,472.3,458.62085913031433,2.913593513805381,1.1962114036123639,9.56933595226792,461.5344526441197
2015-07-01,503.4,461.4496340566519,2.2311202105642565,48.248332381552174,-8.529086648768384,463.6807542672162
2015-08-01,512.4,464.27929127778145,1.575526520578535,50.24925825845378,-3.70407605681379,465.85481779836
2015-09-01,456.3,467.11007023219645,0.9408330066028725,-8.359995209080095,-3.3909080297192418,468.0509032387993
2015-10-01,449.1,469.9422225152307,0.3185748966897677,-16.85218756618189,-4.308609845738545,470.26079741192046
2015-11-01,465.8,472.7760069817317,-0.30478906678479234,-2.9083421935723215,-3.7628757213745985,472.4712179149469
2015-12-01,506.5376787171585,475.6116849446865,-0.9441750347093603,28.630778257809972,3.2393905493713646,474.6675099099771
2016-01-01,495.0,478.44951536531437,-1.562281355671871,30.896832491597685,-12.784066501240204,476.8872340096425
2016-02-01,381.2,481.2897499195335,-1.6046941061833877,-93.95714469513455,-4.52791111821557,479.6850558133501
2016-03-01,476.2,484.132628228622,-1.4756842053062087,-9.731972574419073,3.275028551103219,482.6569440233158
2016-04-01,456.9,486.97837753195904,-1.1403634555524036,-25.877383842789797,-3.0606302336168483,485.83801407640664
2016-05-01,473.0,489.82721368247144,-0.6311819832448009,-12.237523974696346,-3.958507724530307,489.19603169922664
2016-06-01,492.5,492.67934373398526,-0.0622561804834163,2.04398564841793,-2.1610732019197485,492.61708755350185
2016-07-01,552.3,495.5349698700953,0.4371358324823973,56.175422102926746,0.15247219449548766,495.9721057025777
2016-08-01,563.1,498.39429379402486,0.8119636609059739,58.708500078799275,5.185242466269926,499.20625745493084
2016-09-01,496.5,501.2575205819588,1.0900082336943342,-6.477588983564185,0.6300601679110969,502.3475288156531
2016-10-01,489.0,504.12486157523375,1.2934963340744048,-20.30848773064301,3.890129821334881,505.41835790930816
2016-11-01,507.2,506.99653652574364,1.4413461984222522,-6.163084954788394,4.925202230622517,508.4378827241659
2016-12-01,539.34135912533,509.8727751660639,1.534556446314582,29.965378723889515,-2.0313512109379985,511.40733161237847
2017-01-01,486.8,512.7538183502684,1.5602221429497831,29.469077429088912,-56.98311792230709,514.3140404932182
2017-02-01,435.60565272216604,515.6399187731442,1.5281132692540496,-93.99492896132783,12.432549641095534,517.1680320423983
2017-03-01,513.9,518.5313411682298,1.4438942086007955,-11.171586305493543,5.0963509286629005,519.9752353768306
2017-04-01,484.7,521.4283620600605,1.2729204673594268,-31.655018468616245,-6.34626405880374,522.70128252742
2017-05-01,496.8,524.3312691143311,0.9914556311541673,-17.351683124793123,-11.171041620692108,525.3227247454853
2017-06-01,524.4,527.2403598186534,0.6420469262684492,3.091000072399906,-6.573406817321711,527.8824067449218
2017-07-01,607.2,530.1559393107595,0.3085614599577866,64.04898759806251,12.686511631220242,530.4645007707173
2017-08-01,599.1,533.0783176824478,0.061761495570976876,67.27800133883468,-1.3180805168534562,533.1400791780188
2017-09-01,531.7,536.0078074063917,-0.040022974280987,-4.668783078563327,0.40099864645264915,535.9677844321108
2017-10-01,513.0,538.9447214318199,0.04587506651159856,-23.846706354779716,-2.1438901435517437,538.9905964983315
2017-11-01,531.0,541.8893723991416,0.30131156416507565,-9.456105057858865,-1.7345789054478473,542.1906839633067
2017-12-01,574.2694253265715,544.8420733027408,0.6548654337391326,31.34557546287518,-2.5730888727836145,545.4969387364799
2018-01-01,599.5,547.8031394619363,1.0369312319123765,27.60632859193995,23.05360071421137,548.8400706938487
2018-02-01,455.7,550.772891249021,1.4024043546163512,-93.81947672046094,-2.65581888317638,552.1752956036373
2018-03-01,532.5,553.7516570373004,1.7040091188036968,-12.491069431312726,-10.464596724791363,555.4556661561041
2018-04-01,521.7,556.7397760211018,1.8920976631512758,-37.484392375431966,0.5525186911789888,558.631873684253
2018-05-01,553.4,559.7376005429705,1.9868546610983913,-22.48362950769483,14.159174303625832,561.7244552040689
2018-06-01,566.3,562.7454975449716,2.0554765451070125,4.224033631671088,-2.725007721749762,564.8009740900786
2018-07-01,648.4,565.7638492998385,2.1206865393348835,72.03167852957438,8.483785631252204,567.8845358391734
2018-08-01,652.1,568.7930539404629,2.1279792785843483,75.97797755709716,5.200989223855686,570.9210332190472
2018-09-01,574.2,571.8335259630576,2.003444484902843,-2.928130279692895,3.291159831732557,573.8369704479604
2018-10-01,548.1,574.8856962834288,1.679928797052412,-27.50501182261512,-0.9606132578661573,576.5656250804813
2018-11-01,564.7,577.9500112760595,1.145729711682975,-12.847728283739285,-1.548012704003213,579.0957409877425
2018-12-01,611.4594538044255,581.0269302778461,0.44888736533710016,32.73079281340567,-2.747156652163312,581.4758176431832
