Modelo,Etapa,N avaliado,MAE,RMSE,MAPE (%)
Holt-Winters aditivo,Validação,10,25.085935430865412,33.6911519732652,3.244379066907413
Holt-Winters multiplicativo,Validação,10,29.90720430727462,39.92845606806552,3.9263343275373965
Holt,Validação,10,46.36368472559136,64.47782535211262,5.74777703303642
Sazonal ingênuo,Validação,10,58.963581812278086,63.22952532189218,7.829824914435646
