data,Consumo tratado,Tendência,Ciclo,Sazonalidade,Resíduo,Tendência-ciclo STL
2023-07-01,888.8,771.5059835741106,-1.4554409009682558,112.4056868993649,6.3437704274927,770.0505426731423
2023-08-01,886.1,775.2328567669078,-0.861438612563461,124.7012595914441,-12.972677745788474,774.3714181543444
2023-09-01,781.1,778.963859291506,-0.2858434567808672,8.652304216069988,-6.230320050795058,778.6780158347251
2023-10-01,741.9,782.698620872963,0.27261468364145003,-49.36044923776628,8.289213681161755,782.9712355566045
2023-11-01,763.0,786.4367690307548,0.8605775360853158,-36.20857644558219,11.911229878742006,787.2973465668401
2023-12-01,836.8112517134059,790.1779333878651,1.4651257375463729,45.09933350852368,0.06885907947071246,791.6430591254115
2024-01-01,775.4228850080989,793.9217502075367,1.9218496526835906,-12.15163664107255,-8.26907821104885,795.8435998602203
2024-02-01,711.1026156794779,797.6678670579951,2.3002438345857854,-87.50959487045264,-1.3559003426503295,799.9681108925809
2024-03-01,794.2,801.4159463365526,2.6578690985569438,-14.374706678060202,4.500891242950729,804.0738154351095
2024-04-01,741.2,805.1656681893163,3.008370557638955,-69.65295100146466,2.6789122545094415,808.1740387469553
2024-05-01,775.1,808.9167332706428,3.3533519925401833,-42.976242884621634,5.806157621438729,812.270085263183
2024-06-01,820.5,812.6688654476244,3.691491491375018,12.370002648110127,-8.230359587109547,816.3603569389994
2024-07-01,939.6,816.421814461983,4.020698285606272,120.70796792656759,-1.5504806741568018,820.4425127475893
2024-08-01,964.9,820.1753585391714,4.341233011708027,135.05554322842278,5.327865220697731,824.5165915508794
2024-09-01,847.5,823.9293069285485,4.653720316891395,11.268109608457364,7.648863146102713,828.5830272454399
2024-10-01,774.2,827.6835023766417,4.956687464967899,-54.175723129968716,-4.264466711640921,832.6401898416096
2024-11-01,784.9,831.4378235383141,5.246804927058633,-41.45904035024871,-10.325588115123992,836.6846284653727
2024-12-01,891.0036445334006,835.192187314473,5.522837502425318,48.07940888727649,2.2092108292257535,840.7150248168983
