data,Série de trabalho,Cópia tratada,Holt,Holt-Winters aditivo,Holt-Winters multiplicativo
2015-01-01,485.9,485.9,428.90959045922864,472.4496843540962,455.2405129928335
2015-02-01,359.5,359.5,432.2276555170612,362.8200966050841,391.8907728704174
2015-03-01,444.8,444.8,435.5457186419437,449.01779038508494,444.76918443166016
2015-04-01,441.5,441.5,438.8637829884524,436.3661406795458,422.6917625071667
2015-05-01,456.7,456.7,442.18184723634425,456.8949037798191,446.8977490237222
2015-06-01,472.3,472.3,445.4999116612907,478.82940384072015,476.97272307215525
2015-07-01,503.4,503.4,448.81797626925237,530.6227730986066,536.1305999778067
2015-08-01,512.4,512.4,452.1360412911971,531.3846254025023,537.7388087247323
2015-09-01,456.3,456.3,455.4541063978093,462.41873274632894,469.76739440042826
2015-10-01,449.1,449.1,458.7721706190233,449.4872031288608,445.82955214503056
2015-11-01,465.8,465.8,462.0902346835059,467.9218250302597,458.0325497430607
2015-12-01,506.5376787171585,506.5376787171585,465.4082989473949,509.95987231029716,507.6876817567232
2016-01-01,495.0,495.0,468.7263637688796,509.1562045799307,487.7345105150045
2016-02-01,381.2,381.2,472.04442836899653,388.7343017907554,415.63280180963733
2016-03-01,476.2,476.2,475.36249122391825,473.9571121175885,471.506323458648
2016-04-01,456.9,456.9,478.6805554450073,466.0268986765388,448.74393438720165
2016-05-01,473.0,473.0,481.99861932906094,482.32974282370833,471.95358248115616
2016-06-01,492.5,492.5,485.3166834035803,500.3754073375717,501.6964505493333
2016-07-01,552.3,552.3,488.63474771922927,543.6008338879503,562.8365036518153
2016-08-01,563.1,563.1,491.95281287652466,552.9097806196219,568.824114292412
2016-09-01,496.5,496.5,495.2708781453095,493.3840630869142,500.18240933348625
2016-10-01,489.0,489.0,498.58894237223404,484.11189606343186,476.3823811704354
2016-11-01,507.2,507.2,501.90700643795697,502.6103762484624,490.94390273507975
2016-12-01,539.34135912533,539.34135912533,505.225070725438,545.0964316967272,545.5462606461514
2017-01-01,486.8,486.8,508.54313544241955,539.6111551647707,522.9753720195525
2017-02-01,448.8,435.60565272216604,511.8611993270309,416.2578764690892,438.5331480339976
2017-03-01,513.9,513.9,515.179262399344,509.3383811007115,504.4509441012629
2017-04-01,484.7,484.7,518.4973265888907,497.144485299323,480.67008139788334
2017-05-01,496.8,496.8,521.8153902938805,512.8837240150546,504.3948947759149
2017-06-01,524.4,524.4,525.1334541297313,530.537502256884,534.2391627201775
