Método,MAE,RMSE,MAPE (%),MAE demais pontos,MAE todo domínio
Reconstrução STL,7.04803363173976,8.073657528383185,1.1584079765181907,0.3917552303480991,0.821192546566916
Remover e imputar,15.539402298890082,18.00365153555601,2.8140704338021805,0.22938087540016788,1.2171241930446783
Winsorizar resíduos,30.02333192374771,31.804013212257708,4.832999857828325,0.00919566873122629,1.9455915561516446
Sem tratamento,676.2083333333333,758.267008475027,110.00000000000001,0.0,43.626344086021504
