data,Trabalho,Cópia tratada,MM3,MM6,MM12,MM centrada 2x12
2015-01-01,485.9,485.9,,,,
2015-02-01,359.5,359.5,,,,
2015-03-01,444.8,444.8,430.06666666666666,,,
2015-04-01,441.5,441.5,415.26666666666665,,,
2015-05-01,456.7,456.7,447.6666666666667,,,
2015-06-01,472.3,472.3,456.8333333333333,443.45,,
2015-07-01,503.4,503.4,477.4666666666667,446.3666666666666,,463.2323065597632
2015-08-01,512.4,512.4,496.0333333333333,471.84999999999997,,464.51563989309653
2015-09-01,456.3,456.3,490.7,473.7666666666667,,466.72813989309645
2015-10-01,449.1,449.1,472.59999999999997,475.03333333333336,,468.67813989309656
2015-11-01,465.8,465.8,457.06666666666666,476.55,,469.9989732264298
2015-12-01,506.5376787171585,506.5376787171585,473.8125595723862,482.2562797861931,462.85313989309657,471.5198065597632
2016-01-01,495.0,495.0,489.11255957238615,480.85627978619306,463.61147322642995,474.3989732264298
2016-02-01,381.2,381.2,460.9125595723861,458.98961311952644,465.41980655976323,478.5489732264299
2016-03-01,476.2,476.2,450.79999999999995,462.30627978619304,468.0364732264299,482.33647322642986
2016-04-01,456.9,456.9,438.09999999999997,463.60627978619306,469.3198065597632,485.6739732264298
2016-05-01,473.0,473.0,468.7,464.80627978619304,470.67813989309656,489.0614732264298
2016-06-01,492.5,492.5,474.13333333333327,462.4666666666667,472.36147322642984,492.153293243437
2016-07-01,552.3,552.3,505.93333333333334,472.0166666666667,476.4364732264298,493.1784465937775
2016-08-01,563.1,563.1,535.9666666666667,502.3333333333333,480.6614732264299,495.1036821238677
2016-09-01,496.5,496.5,537.3000000000001,505.7166666666667,484.01147322642987,498.94141765395796
2016-10-01,489.0,489.0,516.1999999999999,511.06666666666666,487.3364732264299,501.6705843206246
2016-11-01,507.2,507.2,497.56666666666666,516.7666666666667,490.7864732264299,503.8205843206247
2016-12-01,539.34135912533,539.34135912533,511.84711970844336,524.5735598542216,493.52011326044413,506.14141765395794
2017-01-01,486.8,486.8,511.11378637511,513.6568931875549,492.83677992711085,509.7580843206246
2017-02-01,448.8,435.60565272216604,487.24900394916534,492.407835307916,497.37058432062463,513.5455843206246
