,Referência,Fator,Contaminado,Detectado,Sem tratamento,Winsorizar resíduos,Reconstrução STL,Remover e imputar
2016-03-01,476.2,2.5,1190.5,True,1190.5,489.9650198655772,469.44702195794116,447.6211203889093
2016-10-01,489.0,0.3,146.7,True,146.7,460.1584644823358,480.2704898436883,465.705244452749
2018-04-01,521.7,2.2,1147.7400000000002,True,1147.7400000000002,546.1832317920997,523.3110144852994,528.5224565036355
2021-06-01,703.3,0.35,246.15499999999997,True,246.15499999999997,662.6354228980236,691.5970555948123,682.2338707468188
2021-07-01,775.8,2.8,2172.24,True,2172.24,821.3412254859988,786.9463669497703,767.5989765586286
2021-09-01,694.7,0.25,173.675,True,173.675,667.8555982208301,697.0453877518107,689.4268305631892
