Modelo,Etapa,N avaliado,MAE,RMSE,MAPE (%),Escolhido na validação
Sazonal ingênuo,Teste,9,50.76666666666668,53.204020315928936,6.093044084320945,False
Holt,Teste,9,55.90314683208991,76.15907173810794,6.371330409494441,False
Holt-Winters aditivo,Teste,9,18.843015165229403,24.4869384991859,2.159355410590833,True
Holt-Winters multiplicativo,Teste,9,16.45342637293829,21.721643128301793,1.8892921561751639,False
