Etapa,Modelo,alpha,beta,gamma
Validação,Holt,3.1069005484037735e-08,6.560745618584244e-13,
Validação,Holt-Winters aditivo,0.22055337532367708,4.918583035243865e-28,0.2992349197114733
Validação,Holt-Winters multiplicativo,0.3107319650287633,4.0272463649663587e-28,1.8721125114162997e-27
Teste,Holt,1.4909315108698808e-08,7.034828761329761e-12,
Teste,Holt-Winters aditivo,0.16313951603378715,3.728658194878353e-18,0.28409064563718545
Teste,Holt-Winters multiplicativo,0.17622599410454862,9.875037571239197e-29,2.3804559769844537e-31
