data,64800,129600,259200
2015-01-01,5.2941402687045525,6.780681370867512,8.964704205201826
2015-02-01,4.525843985722702,5.9536815914169665,8.052250529303478
2015-03-01,3.78134630572589,5.150509794574532,7.163642570035734
2015-04-01,3.063419685631402,4.3739917212508885,6.301738675451588
2015-05-01,2.3755153844637675,3.627650526985633,5.470106712311065
2015-06-01,1.7196552826750917,2.913593513805381,4.670908131533793
2015-07-01,1.0950448194880096,2.2311202105642565,3.9035034981910144
2015-08-01,0.49688175212827446,1.575526520578535,3.1632542127686065
2015-09-01,-0.08091118614589732,0.9408330066028725,2.4442484908117876
2015-10-01,-0.6468921078664494,0.3185748966897677,1.7380891660909583
2015-11-01,-1.2146871030986404,-0.30478906678479234,1.0313004162427433
2015-12-01,-1.7992847141300103,-0.9441750347093603,0.30902727818784115
2016-01-01,-2.3634392875437698,-1.562281355671871,-0.3913737394024679
2016-02-01,-2.352772416407788,-1.6046941061833877,-0.5154423333162299
2016-03-01,-2.1715661181527253,-1.4756842053062087,-0.4674135876032892
2016-04-01,-1.7849193673418426,-1.1403634555524036,-0.21237386307313955
2016-05-01,-1.2252473369786117,-0.6311819832448009,0.21724257249491075
2016-06-01,-0.606612719892496,-0.0622561804834163,0.707327205787351
2016-07-01,-0.058225899155445404,0.4371358324823973,1.1286040869828753
2016-08-01,0.36495934859891577,0.8119636609059739,1.426041782505422
2016-09-01,0.6908048419002739,1.0900082336943342,1.6274192012116373
2016-10-01,0.9416188866612174,1.2934963340744048,1.7549618697253209
2016-11-01,1.1363989919322535,1.4413461984222522,1.8275888997533798
2016-12-01,1.276218499490426,1.534556446314582,1.8463029961988582
2017-01-01,1.348240781211416,1.5602221429497831,1.7982073802015748
2017-02-01,1.362296270682009,1.5281132692540496,1.6930849062597417
2017-03-01,1.3241010365022703,1.4438942086007955,1.536617932541617
2017-04-01,1.1990530381749522,1.2729204673594268,1.2941851992452484
2017-05-01,0.9634490219585814,0.9914556311541673,0.9420787386725351
2017-06-01,0.6598606927830133,0.6420469262684492,0.5228790527031606
2017-07-01,0.3721724186303845,0.3085614599577866,0.12049053974624258
2017-08-01,0.17115849460685695,0.061761495570976876,-0.19428430891036896
