data,valor_100_milhoes_kwh,valor_twh,publicacao,url,arquivo_fonte,trecho_original,status,observado_direto_twh,nota
2017-04-01,4847.0,484.7,2017-05-12,https://www.nea.gov.cn/2017-05/12/c_136275968.htm,fontes_html/15150c8ba9f02d9d3b59.html,4月份，全社会用电量4847亿千瓦时,observado_mensal,484.7,
2017-05-01,4968.0,496.8,2017-06-14,https://www.nea.gov.cn/2017-06/14/c_136365269.htm,fontes_html/bc5770e7f8fa31107815.html,5月份，全社会用电量4968亿千瓦时,observado_mensal,496.8,
2017-06-01,5244.0,524.4,2017-07-13,https://www.nea.gov.cn/2017-07/13/c_136441228.htm,fontes_html/87d5ba0c3488188d6a97.html,6月份，全社会用电量5244亿千瓦时,observado_mensal,524.4,
2017-07-01,6072.0,607.2,2017-08-15,https://www.nea.gov.cn/2017-08/15/c_136527396.htm,fontes_html/83a6f8817c04f07136b9.html,7月份，全社会用电量6072亿千瓦时,observado_mensal,607.2,
2017-08-01,5991.0,599.1,2017-09-15,https://www.nea.gov.cn/2017-09/15/c_136612766.htm,fontes_html/5073387c8e57caea6d5a.html,8月份，全社会用电量5991亿千瓦时,observado_mensal,599.1,
2017-09-01,5317.0,531.7,2017-10-13,https://www.nea.gov.cn/2017-10/13/c_136677416.htm,fontes_html/c534699f473b9f2f4737.html,9月份，全社会用电量5317亿千瓦时,observado_mensal,531.7,
2017-10-01,5130.0,513.0,2017-11-14,https://www.nea.gov.cn/2017-11/14/c_136751789.htm,fontes_html/0b4c750ed3afb895107f.html,10月份，全社会用电量5130亿千瓦时,observado_mensal,513.0,
2017-11-01,5310.0,531.0,2017-12-15,https://www.nea.gov.cn/2017-12/15/c_136828885.htm,fontes_html/4fb4658685c917be9874.html,11月份，全社会用电量5310亿千瓦时,observado_mensal,531.0,
2017-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2018-01-01,5995.0,599.5,2018-03-20,https://www.nea.gov.cn/2018-03/20/c_137052579.htm,fontes_html/fcd7fce0b0bdc2a0d0f3.html,1-2月，全国全社会用电量累计10552亿千瓦时 | 2月份，全社会用电量4557亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (10552) - fevereiro (4557), em 10^8 kWh; sujeito ao arredondamento da fonte."
2018-02-01,4557.0,455.7,2018-03-20,https://www.nea.gov.cn/2018-03/20/c_137052579.htm,fontes_html/fcd7fce0b0bdc2a0d0f3.html,2月份，全社会用电量4557亿千瓦时,observado_mensal,455.7,
2018-03-01,5325.0,532.5,2018-04-13,https://www.nea.gov.cn/2018-04/13/c_137108797.htm,fontes_html/5e1b86e1834f90bfebc9.html,3月份，全社会用电量5325亿千瓦时,observado_mensal,532.5,
2018-04-01,5217.0,521.7,2018-05-14,https://www.nea.gov.cn/2018-05/14/c_137178201.htm,fontes_html/5d47653b0e65c43137b0.html,4月份，全社会用电量5217亿千瓦时,observado_mensal,521.7,
2018-05-01,5534.0,553.4,2018-06-20,https://www.nea.gov.cn/2018-06/20/c_137268133.htm,fontes_html/33cd27073228f779e72d.html,5月份，全社会用电量5534亿千瓦时,observado_mensal,553.4,
2018-06-01,5663.0,566.3,2018-07-13,https://www.nea.gov.cn/2018-07/13/c_137322013.htm,fontes_html/09345a4b79db245d5d53.html,6月份，全社会用电量5663亿千瓦时,observado_mensal,566.3,
2018-07-01,6484.0,648.4,2018-08-17,https://www.nea.gov.cn/2018-08/17/c_137398024.htm,fontes_html/601ff98e4e89e3f0d58f.html,7月份，全社会用电量6484亿千瓦时,observado_mensal,648.4,
2018-08-01,6521.0,652.1,2018-09-18,https://www.nea.gov.cn/2018-09/18/c_137476373.htm,fontes_html/259ad1ad668de601c8b8.html,8月份，全社会用电量6521亿千瓦时,observado_mensal,652.1,
2018-09-01,5742.0,574.2,2018-10-22,https://www.nea.gov.cn/2018-10/22/c_137550150.htm,fontes_html/dd737ae2f617537ea081.html,9月份，全社会用电量5742亿千瓦时,observado_mensal,574.2,
2018-10-01,5481.0,548.1,2018-11-16,https://www.nea.gov.cn/2018-11/16/c_137611723.htm,fontes_html/4eef01010103fdf2b1f6.html,10月份，全社会用电量5481亿千瓦时,observado_mensal,548.1,
2018-11-01,5647.0,564.7,2018-12-20,https://www.nea.gov.cn/2018-12/20/c_137687431.htm,fontes_html/d0ce15bff29affe01d16.html,11月份，全社会用电量5647亿千瓦时,observado_mensal,564.7,
2018-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2019-01-01,6172.0,617.2,2019-03-20,https://www.nea.gov.cn/2019-03/20/c_137910037.htm,fontes_html/4b92733981d38ed17e36.html,1-2月，全社会用电量累计11063亿千瓦时 | 2月份，全社会用电量4891亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (11063) - fevereiro (4891), em 10^8 kWh; sujeito ao arredondamento da fonte."
2019-02-01,4891.0,489.1,2019-03-20,https://www.nea.gov.cn/2019-03/20/c_137910037.htm,fontes_html/4b92733981d38ed17e36.html,2月份，全社会用电量4891亿千瓦时,observado_mensal,489.1,
2019-03-01,5732.0,573.2,2019-04-19,https://www.nea.gov.cn/2019-04/19/c_137990693.htm,fontes_html/09092b795ca59bd44510.html,3月份，全社会用电量5732亿千瓦时,observado_mensal,573.2,
2019-04-01,5534.0,553.4,2019-05-16,https://www.nea.gov.cn/2019-05/16/c_138063559.htm,fontes_html/2423c72ce75bca5b1c5f.html,4月份，全社会用电量5534亿千瓦时,observado_mensal,553.4,
2019-05-01,5665.0,566.5,2019-06-14,https://www.nea.gov.cn/2019-06/14/c_138144020.htm,fontes_html/ab6ccef8b0b1e6559fe8.html,5月份，全社会用电量5665亿千瓦时,observado_mensal,566.5,
2019-06-01,5987.0,598.7,2019-07-16,https://www.nea.gov.cn/2019-07/16/c_138231510.htm,fontes_html/42e4ea668fc45be84f1e.html,6月份，全社会用电量5987亿千瓦时,observado_mensal,598.7,
2019-07-01,6672.0,667.2,2019-08-16,https://www.nea.gov.cn/2019-08/16/c_138313369.htm,fontes_html/b7e75470f88c54133344.html,7月份，全社会用电量6672亿千瓦时,observado_mensal,667.2,
2019-08-01,6770.0,677.0,2019-09-18,https://www.nea.gov.cn/2019-09/18/c_138400868.htm,fontes_html/33f387f0ec9894282682.html,8月份，全社会用电量6770亿千瓦时,observado_mensal,677.0,
2019-09-01,6020.0,602.0,2019-10-16,https://www.nea.gov.cn/2019-10/16/c_138476552.htm,fontes_html/b89f0a219240e38cf8c7.html,9月份，全社会用电量6020亿千瓦时,observado_mensal,602.0,
2019-10-01,5790.0,579.0,2019-11-18,https://www.nea.gov.cn/2019-11/18/c_138564199.htm,fontes_html/bf7656074fff8c4cb352.html,10月份，全社会用电量5790亿千瓦时,observado_mensal,579.0,
2019-11-01,5912.0,591.2,2019-12-20,https://www.nea.gov.cn/2019-12/20/c_138646512.htm,fontes_html/97c6fdc785cfcb401a46.html,11月份，全社会用电量5912亿千瓦时,observado_mensal,591.2,
2019-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2020-01-01,5805.0,580.5,2020-03-20,https://www.nea.gov.cn/2020-03/20/c_138898634.htm,fontes_html/6d253cc0028e44e2adb5.html,1-2月，全社会用电量累计10203亿千瓦时 | 2月份，全社会用电量4398亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (10203) - fevereiro (4398), em 10^8 kWh; sujeito ao arredondamento da fonte."
2020-02-01,4398.0,439.8,2020-03-20,https://www.nea.gov.cn/2020-03/20/c_138898634.htm,fontes_html/6d253cc0028e44e2adb5.html,2月份，全社会用电量4398亿千瓦时,observado_mensal,439.8,
2020-03-01,5493.0,549.3,2020-04-17,https://www.nea.gov.cn/2020-04/17/c_138984241.htm,fontes_html/ad44afddbe1539c21f84.html,3月份，全社会用电量5493亿千瓦时,observado_mensal,549.3,
2020-04-01,5572.0,557.2,2020-05-15,https://www.nea.gov.cn/2020-05/15/c_139060076.htm,fontes_html/358957d250f8547c3a82.html,4月份，全社会用电量5572亿千瓦时,observado_mensal,557.2,
2020-05-01,5926.0,592.6,2020-06-19,https://www.nea.gov.cn/2020-06/19/c_139150749.htm,fontes_html/88c9f1012fc5a06cb3dd.html,5月份，全社会用电量5926亿千瓦时,observado_mensal,592.6,
2020-06-01,6350.0,635.0,2020-07-13,https://www.nea.gov.cn/2020-07/13/c_139209401.htm,fontes_html/94fc5a24bb5e578fd7f6.html,6月份，全社会用电量6350亿千瓦时,observado_mensal,635.0,
2020-07-01,6824.0,682.4,2020-08-13,https://www.nea.gov.cn/2020-08/13/c_139287159.htm,fontes_html/9c29f763fd79e4f5e261.html,7月份，全社会用电量6824亿千瓦时,observado_mensal,682.4,
2020-08-01,7294.0,729.4,2020-09-14,https://www.nea.gov.cn/2020-09/14/c_139367363.htm,fontes_html/01614f2a39f93653c047.html,8月份，全社会用电量7294亿千瓦时,observado_mensal,729.4,
2020-09-01,6454.0,645.4,2020-10-16,https://www.nea.gov.cn/2020-10/16/c_139444629.htm,fontes_html/16d3d6c0737839af4ee7.html,9月份，全社会用电量6454亿千瓦时,observado_mensal,645.4,
2020-10-01,6172.0,617.2,2020-11-13,https://www.nea.gov.cn/2020-11/13/c_139513791.htm,fontes_html/a2b2b0969e4e4b6dfad7.html,10月份，全社会用电量6172亿千瓦时,observado_mensal,617.2,
2020-11-01,6467.0,646.7,2020-12-14,https://www.nea.gov.cn/2020-12/14/c_139588917.htm,fontes_html/aa0b35a07b70aca9b3ed.html,11月份，全社会用电量6467亿千瓦时,observado_mensal,646.7,
2020-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2021-01-01,7324.0,732.4,2021-03-12,https://www.nea.gov.cn/2021-03/12/c_139805948.htm,fontes_html/34dbc836251649a1be1a.html,1-2月，全社会用电量累计12588亿千瓦时 | 2月份，全社会用电量5264亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (12588) - fevereiro (5264), em 10^8 kWh; sujeito ao arredondamento da fonte."
2021-02-01,5264.0,526.4,2021-03-12,https://www.nea.gov.cn/2021-03/12/c_139805948.htm,fontes_html/34dbc836251649a1be1a.html,2月份，全社会用电量5264亿千瓦时,observado_mensal,526.4,
2021-03-01,6631.0,663.1,2021-04-14,https://www.nea.gov.cn/2021-04/14/c_139880514.htm,fontes_html/bf6d4f94e019ee746f07.html,3月份，全社会用电量6631亿千瓦时,observado_mensal,663.1,
